Category: All categories

Week,2019 Australian Open: (United States)
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,0
2018-04-01,0
2018-04-08,0
2018-04-15,0
2018-04-22,0
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,<1
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,<1
2018-06-24,0
2018-07-01,0
2018-07-08,1
2018-07-15,0
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,<1
2018-08-19,0
2018-08-26,<1
2018-09-02,0
2018-09-09,0
2018-09-16,0
2018-09-23,<1
2018-09-30,<1
2018-10-07,<1
2018-10-14,0
2018-10-21,0
2018-10-28,1
2018-11-04,0
2018-11-11,<1
2018-11-18,<1
2018-11-25,1
2018-12-02,1
2018-12-09,1
2018-12-16,1
2018-12-23,3
2018-12-30,6
2019-01-06,11
2019-01-13,64
2019-01-20,100
2019-01-27,19
2019-02-03,<1
