Category: All categories

Time,Roger Federer: (United States),Rafael Nadal: (United States)
2019-02-04T14,28,57
2019-02-04T15,25,64
2019-02-04T16,36,65
2019-02-04T17,25,63
2019-02-04T18,19,62
2019-02-04T19,22,69
2019-02-04T20,29,78
2019-02-04T21,40,82
2019-02-04T22,33,71
2019-02-04T23,38,85
2019-02-05T00,29,68
2019-02-05T01,38,68
2019-02-05T02,28,72
2019-02-05T03,24,62
2019-02-05T04,50,98
2019-02-05T05,33,73
2019-02-05T06,25,53
2019-02-05T07,22,55
2019-02-05T08,26,47
2019-02-05T09,24,49
2019-02-05T10,24,38
2019-02-05T11,22,66
2019-02-05T12,23,59
2019-02-05T13,20,56
2019-02-05T14,23,52
2019-02-05T15,23,55
2019-02-05T16,26,52
2019-02-05T17,21,51
2019-02-05T18,23,54
2019-02-05T19,29,54
2019-02-05T20,23,57
2019-02-05T21,30,62
2019-02-05T22,37,67
2019-02-05T23,25,69
2019-02-06T00,28,76
2019-02-06T01,39,70
2019-02-06T02,32,54
2019-02-06T03,35,68
2019-02-06T04,42,60
2019-02-06T05,16,47
2019-02-06T06,29,54
2019-02-06T07,23,43
2019-02-06T08,25,41
2019-02-06T09,21,36
2019-02-06T10,23,40
2019-02-06T11,25,36
2019-02-06T12,23,41
2019-02-06T13,22,42
2019-02-06T14,21,39
2019-02-06T15,19,40
2019-02-06T16,22,41
2019-02-06T17,17,41
2019-02-06T18,23,43
2019-02-06T19,29,52
2019-02-06T20,24,51
2019-02-06T21,33,58
2019-02-06T22,26,59
2019-02-06T23,32,57
2019-02-07T00,33,53
2019-02-07T01,29,60
2019-02-07T02,31,61
2019-02-07T03,30,43
2019-02-07T04,29,71
2019-02-07T05,16,47
2019-02-07T06,22,46
2019-02-07T07,27,44
2019-02-07T08,33,52
2019-02-07T09,24,42
2019-02-07T10,18,42
2019-02-07T11,23,39
2019-02-07T12,21,37
2019-02-07T13,23,43
2019-02-07T14,21,42
2019-02-07T15,24,41
2019-02-07T16,21,37
2019-02-07T17,29,36
2019-02-07T18,19,42
2019-02-07T19,22,49
2019-02-07T20,32,43
2019-02-07T21,29,55
2019-02-07T22,31,55
2019-02-07T23,27,59
2019-02-08T00,24,55
2019-02-08T01,37,61
2019-02-08T02,26,74
2019-02-08T03,36,69
2019-02-08T04,21,35
2019-02-08T05,15,48
2019-02-08T06,29,52
2019-02-08T07,27,40
2019-02-08T08,21,36
2019-02-08T09,24,37
2019-02-08T10,24,35
2019-02-08T11,21,34
2019-02-08T12,23,37
2019-02-08T13,20,46
2019-02-08T14,22,37
2019-02-08T15,21,36
2019-02-08T16,18,33
2019-02-08T17,24,41
2019-02-08T18,24,38
2019-02-08T19,25,46
2019-02-08T20,26,52
2019-02-08T21,25,57
2019-02-08T22,24,56
2019-02-08T23,65,61
2019-02-09T00,31,46
2019-02-09T01,18,52
2019-02-09T02,37,81
2019-02-09T03,26,51
2019-02-09T04,36,61
2019-02-09T05,19,46
2019-02-09T06,26,46
2019-02-09T07,29,55
2019-02-09T08,30,50
2019-02-09T09,25,50
2019-02-09T10,19,39
2019-02-09T11,27,39
2019-02-09T12,23,43
2019-02-09T13,28,42
2019-02-09T14,26,47
2019-02-09T15,23,37
2019-02-09T16,27,37
2019-02-09T17,20,38
2019-02-09T18,24,42
2019-02-09T19,27,43
2019-02-09T20,25,48
2019-02-09T21,26,55
2019-02-09T22,27,47
2019-02-09T23,29,57
2019-02-10T00,43,63
2019-02-10T01,34,71
2019-02-10T02,100,86
2019-02-10T03,23,31
2019-02-10T04,20,58
2019-02-10T05,30,37
2019-02-10T06,33,55
2019-02-10T07,24,48
2019-02-10T08,25,48
2019-02-10T09,28,40
2019-02-10T10,29,39
2019-02-10T11,21,40
2019-02-10T12,29,42
2019-02-10T13,28,43
2019-02-10T14,24,39
2019-02-10T15,27,35
2019-02-10T16,20,43
2019-02-10T17,23,43
2019-02-10T18,26,44
2019-02-10T19,31,41
2019-02-10T20,25,43
2019-02-10T21,38,47
2019-02-10T22,33,57
2019-02-10T23,34,54
2019-02-11T00,33,57
2019-02-11T01,22,60
2019-02-11T02,24,52
2019-02-11T03,30,55
2019-02-11T04,19,57
2019-02-11T05,29,45
2019-02-11T06,31,57
2019-02-11T07,23,41
2019-02-11T08,22,37
2019-02-11T09,25,38
2019-02-11T10,19,36
2019-02-11T11,23,37
2019-02-11T12,21,41
2019-02-11T13,24,39
