Category: All categories

Week,Serena Williams: (United States)
2018-02-11,3
2018-02-18,3
2018-02-25,3
2018-03-04,6
2018-03-11,7
2018-03-18,4
2018-03-25,3
2018-04-01,2
2018-04-08,2
2018-04-15,2
2018-04-22,3
2018-04-29,5
2018-05-06,4
2018-05-13,7
2018-05-20,8
2018-05-27,23
2018-06-03,15
2018-06-10,3
2018-06-17,2
2018-06-24,3
2018-07-01,15
2018-07-08,36
2018-07-15,9
2018-07-22,4
2018-07-29,5
2018-08-05,5
2018-08-12,9
2018-08-19,9
2018-08-26,47
2018-09-02,67
2018-09-09,100
2018-09-16,8
2018-09-23,4
2018-09-30,4
2018-10-07,3
2018-10-14,2
2018-10-21,2
2018-10-28,2
2018-11-04,2
2018-11-11,3
2018-11-18,2
2018-11-25,2
2018-12-02,2
2018-12-09,2
2018-12-16,2
2018-12-23,3
2018-12-30,7
2019-01-06,2
2019-01-13,11
2019-01-20,18
2019-01-27,4
2019-02-03,4
